,max_depth,max_features,acc,f1,roc
13,4.0,12,0.8417999999999999,0.6226189558075642,0.8980919106761206
14,4.0,16,0.8453999999999999,0.6408147308082787,0.8996507509394555
15,4.0,20,0.8432000000000001,0.6392922401488474,0.8993117845066552
16,6.0,1,0.7584,0.06830037783488524,0.8879187804275555
17,6.0,2,0.7882,0.29120710950450945,0.8952283148286251
18,6.0,4,0.8314,0.5606062777461016,0.8984365119672623
19,6.0,6,0.842,0.6153559637496955,0.9007057628434193
20,6.0,8,0.8478,0.6420550113360161,0.9023649621483802
21,6.0,12,0.853,0.6635020312728626,0.9044688216596896
22,6.0,16,0.8534,0.6652139423630239,0.9058729354489474
23,6.0,20,0.8539999999999999,0.6707938098437775,0.9062989403135123
24,8.0,1,0.7794000000000001,0.22261089610443935,0.893799546675603
25,8.0,2,0.8230000000000001,0.5058202079102105,0.8974298681134828
26,8.0,4,0.8412,0.6140643273028785,0.9029266021372454
27,8.0,6,0.8484,0.6468201319254393,0.9057319142619553
28,8.0,8,0.8522000000000001,0.6619746210110735,0.9072881589909165
29,8.0,12,0.8549999999999999,0.6724132005808695,0.9081992268157455
30,8.0,16,0.8565999999999999,0.6774479838817484,0.9103563633877485
31,8.0,20,0.8562,0.6775048945648205,0.9102955276457145
32,16.0,1,0.8400000000000001,0.6104631258521066,0.9027655177797046
33,16.0,2,0.8468,0.639781625227597,0.906133888334867
34,16.0,4,0.8526,0.6652156839339406,0.9090739915113023
35,16.0,6,0.8583999999999999,0.6847154359865819,0.9115350017507187
36,16.0,8,0.8574000000000002,0.684773932069092,0.9109312687776707
37,16.0,12,0.8598000000000001,0.6938108398171108,0.9125206028145539
38,16.0,16,0.859,0.6947686422572426,0.9119455689728847
39,16.0,20,0.8552,0.6877078502240093,0.9099472701762599
40,20.0,1,0.842,0.6291738880388901,0.9020233198517014
41,20.0,2,0.85,0.6588118570867189,0.9049357725122651
42,20.0,4,0.8562,0.6788400787442763,0.9080967818679888
43,20.0,6,0.8573999999999999,0.6867327511989879,0.9091178650070834
44,20.0,8,0.8577999999999999,0.6943436452062721,0.9100465020317483
45,20.0,12,0.8596,0.6972336709919157,0.9113194579375422
46,20.0,16,0.86,0.7005770494305674,0.9097034770355161
47,20.0,20,0.8596,0.7013848288270744,0.9091350226245885
48,30.0,1,0.8459999999999999,0.6584053137337639,0.8987646280388016
49,30.0,2,0.8468,0.6630433802995226,0.901825169719697
50,30.0,4,0.8534,0.6857994630025754,0.9039878834617916
51,30.0,6,0.8566,0.6942740555563521,0.9060748355668558
52,30.0,8,0.859,0.701773108031906,0.9079555281691215
53,30.0,12,0.8603999999999999,0.7044581766451795,0.9090318298742724
54,30.0,16,0.8593999999999999,0.7033094394208048,0.9094541824555804
55,30.0,20,0.8583999999999999,0.6978967702692421,0.9066866640978587
56,,1,0.8423999999999999,0.652449710423177,0.8943476554889476
57,,2,0.8488,0.6706676187495038,0.8984319328024796
58,,4,0.8512000000000001,0.6816056471679982,0.9012878064784033
59,,6,0.8586,0.7018114817150466,0.9046048836032817
60,,8,0.8556000000000001,0.6935716917751062,0.9046028093738088
61,,12,0.8583999999999999,0.6974570586475577,0.9056013491589494
62,,16,0.8592000000000001,0.7011673478470398,0.906352376994913
63,,20,0.8583999999999999,0.7008363089411112,0.9079178154522098
0,2.0,1,0.8726,0.8932800809317317,0.9738084962195017
1,2.0,2,0.9026000000000002,0.9153812486829201,0.974535049085658
2,2.0,4,0.9122,0.9222869835308147,0.9731768377974237
3,2.0,6,0.9141999999999999,0.92264562251671,0.9742412808820328
4,2.0,8,0.9162000000000001,0.922973447583226,0.9741685698316738
5,2.0,12,0.914,0.9204055044383829,0.9729167168123327
6,2.0,16,0.9124000000000001,0.9186953024840658,0.9720752958552167
7,2.0,20,0.9068000000000002,0.913065856630193,0.9698551683028919
8,4.0,1,0.9017999999999999,0.9149315017175088,0.9767359296731037
9,4.0,2,0.9222000000000001,0.9305372807447869,0.9786261190862987
10,4.0,4,0.9188000000000001,0.9266707765525428,0.9797403290880979
11,4.0,6,0.9212,0.9276788009571082,0.9793848553277691
12,4.0,8,0.9199999999999999,0.926399902204569,0.9802236784360947
13,4.0,12,0.9186,0.9249202521194191,0.9791014061531031
14,4.0,16,0.9186,0.9249206638910514,0.9787173140079899
15,4.0,20,0.9186,0.9249273354735562,0.9783812925520022
16,6.0,1,0.924,0.9322039098023598,0.9809327107328716
17,6.0,2,0.9298,0.9367337717370517,0.9830254997054251
18,6.0,4,0.9296,0.936120412632939,0.9840495951620868
19,6.0,6,0.9292,0.9354003144389236,0.9846196148008607
20,6.0,8,0.9282,0.9345549470781856,0.9845990649689199
21,6.0,12,0.9264000000000001,0.9329008376326415,0.984336579210072
22,6.0,16,0.9292,0.935752163706811,0.9846578220654527
23,6.0,20,0.9301999999999999,0.9365842877210584,0.9842600621585916
24,8.0,1,0.9364000000000001,0.9426594788861966,0.9855725209031652
25,8.0,2,0.9388,0.9445633464395456,0.9862611965481403
26,8.0,4,0.938,0.9435603825939813,0.9884599682195947
27,8.0,6,0.9381999999999999,0.9435815251368471,0.9890831338426596
28,8.0,8,0.9378,0.9430853538465112,0.9892247882898945
29,8.0,12,0.9432,0.9480012961087152,0.98978915163494
30,8.0,16,0.9474,0.951589446035619,0.9897239408992652
31,8.0,20,0.9486000000000001,0.9524849356259353,0.9895158109020628
32,16.0,1,0.9644,0.9673935904301223,0.9945509625764439
33,16.0,2,0.9656,0.9684983058405189,0.9952550431300683
34,16.0,4,0.967,0.9697751536653563,0.9955629754907116
35,16.0,6,0.9687999999999999,0.9713293714491638,0.9958085484292557
36,16.0,8,0.9696,0.9720722843076978,0.9956225281407575
37,16.0,12,0.9693999999999999,0.9718288534212693,0.9949043741770666
38,16.0,16,0.9692000000000001,0.9716145664276128,0.994684168037114
39,16.0,20,0.9702,0.9724961470030038,0.9943653193938523
40,20.0,1,0.9708,0.9732079865563421,0.9946914314369785
